1194,Chyanne,F,167
1195,Jalen,F,167
1196,Kyara,F,167
1197,Camilla,F,166
1198,Giana,F,166
1199,Monet,F,166
1200,Priya,F,166
1201,Akira,F,165
1202,Cori,F,165
1203,Fallon,F,165
1204,Naya,F,165
1205,Shreya,F,165
1206,Tanisha,F,165
1207,Debra,F,164
1208,Irma,F,164
1209,Lissette,F,164
1210,Lorraine,F,164
1211,Magaly,F,164
1212,Mahogany,F,164
1213,Marcela,F,164
1214,Abrianna,F,163
1215,Alexi,F,163
1216,Amaris,F,163
1217,Cailyn,F,163
1218,Hali,F,163
1219,Joan,F,163
1220,Kelsea,F,163
1221,Lainey,F,163
1222,Viridiana,F,163
1223,Chastity,F,162
1224,Isabell,F,162
1225,Maleah,F,162
